CurrentTime,CPU(%)
2021-12-16 20:27:07,3.2
2021-12-16 20:28:12,3.2
2021-12-16 20:29:17,3.2
2021-12-16 20:30:22,3.1
2021-12-16 20:31:27,3.3
2021-12-16 20:32:32,3.3
2021-12-16 20:33:37,3.3
2021-12-16 20:34:42,3.3
2021-12-16 20:35:47,3.3
2021-12-16 20:36:52,6
